kanji	kanken	jlpt	wanikani	grade	frequency	kunyomi	onyomi	meanings
触	4	N2	WK24	G8	FQ904	ふ.れる,さわ.る,さわ	しょく	Contact,Touch,Feel,Hit,Proclaim,Announce,Conflict
依	4	N2	WK36	G8	FQ906	よ.る	い,え	Reliant,Depend On,Consequently,Therefore,Due To
汚	4	N2	WK32	G8	FQ908	けが.す,けが.れる,けが.らわしい,よご.す,よご.れる,きたな.い	お	Dirty,Pollute,Disgrace,Rape,Defile
互	4	N3	WK35	G8	FQ914	たが.い,かたみ.に	ご	Mutually,Reciprocally,Together
慮	4	N1	WK38	G8	FQ916	おもんぱく.る,おもんぱか.る	りょ	Prudence,Thought,Concern,Consider,Deliberate,Fear
恵	4	N1	WK37	G8	FQ925	めぐ.む,めぐ.み	けい,え	Favor,Blessing,Grace,Kindness
露	4	N1	WK43	G8	FQ928	つゆ	ろ,ろう	Dew,Tears,Expose,Russia
沖	4	N1	WK36	G8	FQ929	おき,おきつ,ちゅう.する,わく	ちゅう	Open Sea,Offing,Rise High Into Sky
逃	4	N3	WK38	G8	FQ931	に.げる,に.がす,のが.す,のが.れる	とう	Escape,Flee,Shirk,Evade,Set Free
需	4	N1	WK38	G8	FQ935		じゅ	Demand,Request,Need
傾	4	N2	WK38	G8	FQ938	かたむ.く,かたむ.ける,かたぶ.く,かた.げる,かし.げる	けい	Lean,Incline,Tilt,Trend,Wane,Sink,Ruin,Bias
跡	4	N2	WK37	G8	FQ953	あと	せき	Tracks,Mark,Print,Impression
却	4	N1	WK38	G8	FQ959	かえ.って,しりぞ.く,しりぞ.ける	きゃく	Instead,On The Contrary,Rather,Step Back,Withdraw,Retreat
端	4	N1	WK27	G8	FQ960	はし,は,はた,-ばた,はな	たん	Edge,Origin,End,Point,Border,Verge,Cape
紹	4	N2	WK35	G8	FQ963		しょう	Introduce,Inherit,Help
獲	4	N1	WK40	G8	FQ964	え.る	かく	Seize,Get,Find,Earn,Acquire,Can,May,Able To
替	4	N2	WK25	G8	FQ979	か.える,か.え-,か.わる	たい	Exchange,Spare,Substitute,Per-
称	4	N1	WK38	G8	FQ985	たた.える,とな.える,あ.げる,かな.う,はか.り,はか.る,ほめ.る	しょう	Appellation,Praise,Admire,Name,Title,Fame
慎	4	N1	WK39	G8	FQ999	つつし.む,つつ.ましい,つつし,つつし.み	しん	Humility,Be Careful,Discreet,Prudent
贈	4	N2	WK38	G8	FQ1001	おく.る	ぞう,そう	Presents,Send,Give To,Award To,Confer On,Presenting Something
握	4	N1	WK42	G8	FQ1003	にぎ.る	あく	Grip,Hold,Mould Sushi,Bribe
薄	4	N2	WK40	G8	FQ1009	うす.い,うす-,-うす,うす.める,うす.まる,うす.らぐ,うす.ら-,うす.れる,すすき	はく	Dilute,Thin,Weak (tea),Pampas Grass
奥	4	N2	WK38	G8	FQ1018	おく,おく.まる,くま	おう	Heart,Interior
詰	4	N2	WK29	G8	FQ1020	つ.める,つ.め,-づ.め,つ.まる,つ.む	きつ,きち	Packed,Close,Pressed,Reprove,Rebuke,Blame
侵	4	N1	WK41	G8	FQ1025	おか.す	しん	Encroach,Invade,Raid,Trespass,Violate
刺	4	N2	WK26	G8	FQ1031	さ.す,さ.さる,さ.し,さし,とげ	し	Thorn,Pierce,Stab,Prick,Sting,Calling Card
到	4	N3	WK42	G8	FQ1032	いた.る	とう	Arrival,Proceed,Reach,Attain,Result In
駆	4	N1	WK40	G8	FQ1033	か.ける,か.る	く	Drive,Run,Gallop,Advance,Inspire,Impel
寝	4	N3	WK22	G8	FQ1034	ね.る,ね.かす,い.ぬ,みたまや,や.める	しん	Lie Down,Sleep,Rest,Bed,Remain Unsold
透	4	N1	WK40	G8	FQ1035	す.く,す.かす,す.ける,とう.る,とう.す	とう	Transparent,Permeate,Filter,Penetrate
壁	4	N1	WK39	G8	FQ1037	かべ	へき	Wall,Lining (stomach),Fence
稲	4	N1	WK39	G8	FQ1038	いね,いな-	とう,て	Rice Plant
敏	4	N1	WK40	G8	FQ1042	さとい	びん	Cleverness,Agile,Alert
是	4	N1	WK17	G8	FQ1045	これ,この,ここ	ぜ,し	Just So,This,Right,Justice
堅	4	N1	WK42	G8	FQ1049	かた.い,-がた.い	けん	Strict,Hard,Solid,Tough,Tight,Reliable
盗	4	N3	WK30	G8	FQ1051	ぬす.む,ぬす.み	とう	Steal,Rob,Pilfer
芝	4	N1	WK42	G8	FQ1052	しば	し	Turf,Lawn
扱	4	N1	WK38	G8	FQ1057	あつか.い,あつか.う,あつか.る,こ.く	そう,きゅう	Handle,Entertain,Thresh,Strip
戒	4	N1	WK40	G8	FQ1062	いまし.める	かい	Commandment
